ID,long,lat,weight,location,commune,district,voivodeship
212329303,20.498333,50.0569166,C,Bogucice,Bochnia,bocheński,MAŁOPOLSKIE
207124652,20.3197493,49.952,C,Bogucice,Bochnia,bocheński,MAŁOPOLSKIE
207216712,20.4272771,49.9746937,L,Bogucice,Bochnia,bocheński,MAŁOPOLSKIE
212236155,20.4301382,49.9895274,L,Bogucice,Bochnia,bocheński,MAŁOPOLSKIE
207160877,20.4306104,49.9966941,L,Bogucice,Bochnia,bocheński,MAŁOPOLSKIE
207375715,20.4264993,49.9769437,L,Bochnia,Bochnia,bocheński,MAŁOPOLSKIE
212298568,20.448083,50.0018888,L,Bochnia,Bochnia,bocheński,MAŁOPOLSKIE
212282381,20.4370552,49.9815271,L,Bochnia,Bochnia,bocheński,MAŁOPOLSKIE
212096002,20.4364163,49.9765271,L,Bochnia,Bochnia,bocheński,MAŁOPOLSKIE
212324345,20.4312493,49.9744715,L,Bochnia,Bochnia,bocheński,MAŁOPOLSKIE
212362318,20.4344996,50.1001111,L,Drwinia,Drwinia,bocheński,MAŁOPOLSKIE
207179831,20.4587222,50.0561111,L,Drwinia,Drwinia,bocheński,MAŁOPOLSKIE
212268892,20.5046944,49.8803326,C,Lipnica Górna,Lipnica Murowana,bocheński,MAŁOPOLSKIE
212145206,20.3025,49.8277215,L,Tarnawa,Łapanów,bocheński,MAŁOPOLSKIE
212304410,20.4704715,49.9158055,L,Stary Wiśnicz,Nowy Wiśnicz,bocheński,MAŁOPOLSKIE
212269582,20.4393885,49.85575,C,Stary Wiśnicz,Nowy Wiśnicz,bocheński,MAŁOPOLSKIE
212145025,20.4944996,49.9291104,C,Stary Wiśnicz,Nowy Wiśnicz,bocheński,MAŁOPOLSKIE
212284268,20.4927218,49.9407218,L,Stary Wiśnicz,Nowy Wiśnicz,bocheński,MAŁOPOLSKIE
212295027,20.4853885,49.9882218,C,Krzeczów,Rzezawa,bocheński,MAŁOPOLSKIE
212359330,20.3331937,49.8596666,C,Trzciana,Trzciana,bocheński,MAŁOPOLSKIE
207316720,20.471416,49.8002777,L,Bytomsko,Żegocina,bocheński,MAŁOPOLSKIE
212099790,20.3888052,49.8215826,L,Bytomsko,Żegocina,bocheński,MAŁOPOLSKIE
207292400,20.7396107,50.0126111,L,Bielcza,Borzęcin,brzeski,MAŁOPOLSKIE
207400493,20.6144444,49.9740826,C,Brzesko,Brzesko,brzeski,MAŁOPOLSKIE
212280307,20.599083,49.9773326,C,Brzesko,Brzesko,brzeski,MAŁOPOLSKIE
207339447,20.6110277,49.9698326,L,Brzesko,Brzesko,brzeski,MAŁOPOLSKIE
